Date,R_Open,R_High,R_Low,R_Close,R_Vol,N_Open,N_High,N_Low,N_Close,N_Vol,C_Open,C_High,C_Low,C_Close,C_Vol,FX_Open,FX_High,FX_Low,FX_Close,FX_Vol,RSI_14,RSI_7,EMA_12,EMA_26,SMA_20,SMA_50,MACD_MACD_12_26_9,MACD_MACDh_12_26_9,MACD_MACDs_12_26_9,BB_BBL_20_2.0_2.0,BB_BBM_20_2.0_2.0,BB_BBU_20_2.0_2.0,BB_BBB_20_2.0_2.0,BB_BBP_20_2.0_2.0,STOCH_STOCHk_14_3_3,STOCH_STOCHd_14_3_3,STOCH_STOCHh_14_3_3,ADX_ADX_14,ADX_ADXR_14_2,ADX_DMP_14,ADX_DMN_14,ATR_14,OBV,ROC_10,Target,R_return_1d,R_return_2d,R_return_3d,R_return_5d,R_return_10d,R_vol_5d,R_vol_20d,R_mom_10d,Nifty_return,Crude_return,FX_return
2018-05-03,431.97,431.97,423.73,424.77,8634812.0,10720.15,10720.6,10647.45,10679.65,185200.0,67.68,68.6,67.21,68.43,691219.0,66.8,67.04,66.33,67.08,0.0,56.54277543647721,52.81461974542032,423.47420255713246,416.7445066541276,417.1255,409.1842,6.729695903004824,1.1747819924572385,5.554913910547586,395.5544946309497,417.1255,438.6965053690503,10.342693203388592,0.6771938736561666,50.701968316981024,62.42935523287295,-11.727386915891929,24.59523184655221,24.689992068700704,26.82886513938349,17.682228227140303,8.747661427862102,198043045.0,2.517256359511514,421.39,-0.011404100821560847,-0.0017625493513818702,-0.03483299250170424,-0.00916724982505246,0.025172563595115216,0.02118838129741953,0.014344688501451663,0.025172563595115216,-0.003582741263569389,0.007360518180479891,0.004341967360383281
2018-05-04,425.32,426.14,419.64,421.39,8302649.0,10700.45,10700.45,10601.6,10618.25,186500.0,68.5,69.97,68.12,69.72,690876.0,66.66,66.93,66.58,66.66,0.0,53.727468812780096,48.09615023702813,423.1535560098813,417.0886172723404,418.136,409.4726,6.064938737540899,0.4080198615946502,5.656918875946249,397.8552386730671,418.136,438.416761326933,9.700557391342995,0.5802238127934238,46.27342240147886,53.65169086833021,-7.378268466851352,23.662538473606613,24.28450493954381,25.378413209441387,20.12808927874754,8.587114183014808,189740396.0,1.2372669613684355,428.92,-0.00795724745156201,-0.019270603020923094,-0.00970577176160936,-0.02193389657413425,0.012372669613684328,0.020962385005235434,0.014318051234628218,0.012372669613684328,-0.005749252082231093,0.018851380973257115,-0.0062611806797853164
2018-05-07,423.55,429.91,422.45,428.92,7683268.0,10653.15,10725.65,10635.65,10715.5,168400.0,69.85,70.84,69.51,70.73,758916.0,66.81,67.47,66.75,66.81,0.0,58.66519935738116,57.87726990677181,424.0407012391303,417.9650159929078,419.461,409.9134,6.07568524622252,0.335013096221016,5.740672150001504,400.0599225475539,419.461,438.8620774524461,9.25047975971358,0.7437751208195762,45.643223258549696,47.53953799233653,-1.896314733786831,23.232965454449555,23.914098650500883,26.71640616911207,18.700921700058345,8.582320312799467,197423664.0,4.645262027910613,427.2,0.017869432117515904,0.009769993172775937,-0.0017455256359532045,-0.025403317427857286,0.04645262027910624,0.019884924534095627,0.014722644164005106,0.04645262027910624,0.00915875968262192,0.014486517498565776,0.0022502250225022724
2018-05-08,431.79,433.78,426.36,427.2,10792648.0,10757.9,10758.55,10689.4,10717.8,269800.0,70.03,70.4,67.63,69.06,1253566.0,67.13,67.33,66.96,67.12,0.0,57.16465152390394,55.10970783436348,424.526747202341,418.6490888823221,420.5895,410.247,5.877658320018952,0.1095889360139583,5.768069384004994,402.2226425774857,420.5895,438.9563574225144,8.733863980206033,0.6799572961212382,47.6850684816402,46.533904713889584,1.1511637677506172,23.251416049335383,23.456977261471,28.30267374982918,17.534854494631237,8.499297433313789,186631016.0,3.3231751560005827,431.44,-0.0040100718082626274,0.013787702603289098,0.005720742990324101,0.003948110547095318,0.033231751560005796,0.012452623524292062,0.014801181265079665,0.033231751560005796,0.00021464234053469866,-0.023610914746218015,0.0046400239485107075
2018-05-09,426.67,434.8,425.06,431.44,9831044.0,10693.35,10766.25,10689.85,10741.7,215400.0,70.05,71.36,69.85,71.14,863386.0,67.16,67.52,67.16,67.16,0.0,59.88836694682248,60.53678499298164,425.590324555827,419.5965637799279,421.9070000000001,410.7096,5.993760775899148,0.1805531135153231,5.8132076623838245,404.4644348820262,421.9070000000001,439.349565117974,8.268440731238831,0.7732682932677287,56.12973699689104,49.81934291236031,6.310394084530728,23.04781656503321,23.140391009741386,26.010007771064554,17.19561800327847,8.587919045219948,196462060.0,0.6861143523920649,433.4,0.009925093632958903,0.005875221486524307,0.023849640475569034,0.004119440500849336,0.006861143523920754,0.012483622206061248,0.014878781130973729,0.006861143523920754,0.002229935247905379,0.030118737329858147,0.0005959475566148509
2018-05-10,432.9,434.93,430.36,433.4,8781584.0,10779.65,10785.55,10705.0,10716.55,192100.0,71.23,71.89,70.56,71.36,749808.0,67.34,67.6,67.12,67.62,0.0,61.11911859307854,62.95231085951848,426.7918130856997,420.6190405369703,423.0175000000001,411.1238,6.172772548729483,0.2876519090765264,5.885120639652957,405.61982698560496,423.0175000000001,440.4151730143952,8.225509826139644,0.7983876059576823,59.894126543987895,54.569644007506376,5.324482536481519,22.87404093514224,23.06272849223881,25.099104187329534,16.51945566006295,8.300924827704238,205243644.0,1.096337765337063,436.98,0.0045429260152047846,0.014513108614232273,0.01044483819826536,0.020316877368929065,0.010963377653370632,0.010426795623017767,0.014623557855146433,0.010963377653370632,-0.002341342618021436,0.0030924936744447518,0.006849315068493178
2018-05-11,433.45,437.89,431.9,436.98,8774740.0,10741.95,10812.05,10724.45,10806.5,203100.0,71.45,71.63,70.45,70.7,634145.0,67.24,67.54,67.07,67.39,0.0,63.33219608214544,67.22704034741268,428.3592264571306,421.8309634601577,424.3545,411.57040000000006,6.528262996972956,0.5145138858559983,6.013749111116957,406.9814361851223,424.3545,441.7275638148778,8.187995562614631,0.8633642325422157,67.39616886883569,61.1400108032382,6.256158065597489,23.0632676099574,23.055542087495304,26.377811179677607,15.6507670549213,8.135858768582509,214018384.0,1.4251230155046055,435.81,0.008260267651130748,0.012840719451140403,0.022893258426966323,0.03699660646906677,0.014251230155046146,0.007985044938436806,0.014622624741542384,0.014251230155046146,0.008393559494426883,-0.009248878923766801,-0.003401360544217691
2018-05-14,438.18,438.18,431.44,435.81,5642499.0,10815.15,10834.85,10774.75,10806.6,171400.0,70.54,71.26,70.26,70.96,592826.0,67.35,67.76,67.19,67.38,0.0,62.08837382797873,64.3940638491374,429.5054993098798,422.8664476482941,425.4090000000001,411.8892,6.639051661585654,0.5002420403749577,6.138809621210696,407.9382642880784,425.4090000000001,442.8797357119217,8.213618288245726,0.7976692044200104,69.42218996728477,65.57082846003611,3.8513615072486544,23.14715232115412,23.01059662814818,24.79766611888604,15.122060963806373,8.036154570826616,208375885.0,-0.9747784594410408,432.43,-0.002677468076342171,0.005560682971850639,0.010128870758390418,0.016063601604028754,-0.009747784594410391,0.006308051952739105,0.014563887894495043,-0.009747784594410391,9.253689908783613e-06,0.003677510608203649,-0.00014838996883814737
2018-05-15,434.24,441.73,431.42,432.43,10501479.0,10812.6,10929.2,10781.4,10801.85,254300.0,71.15,71.92,70.42,71.31,815289.0,67.55,68.32,67.47,67.68,0.0,58.51315357285215,56.38567113355021,429.9554224929752,423.5748589336057,426.3345000000001,412.1048,6.380563559369477,0.1934031505270246,6.187160408842453,409.47600100331954,426.3345000000001,443.19299899668056,7.908578356516073,0.6807841849146885,62.99137757082727,66.60324546898256,-3.611867898155296,23.64953970783273,23.356403658895065,25.66306750685146,13.763809140491292,8.198572101481858,197874406.0,1.62389546907314,422.36,-0.007755673343888381,-0.010412375852441813,-0.002238117212736479,0.01224250936329585,0.016238954690731333,0.007491042383246519,0.01471639268669597,0.016238954690731333,-0.000439546203246155,0.004932356257046244,0.004452359750668045
2018-05-16,430.25,430.25,420.73,422.36,18840763.0,10751.95,10790.45,10699.7,10741.1,231100.0,71.02,71.59,70.66,71.49,574279.0,68.07,68.48,67.75,68.46,0.0,49.38851025536941,39.36793671117039,428.7868959555944,423.4848693829682,426.5975,412.1732,5.302026572626119,-0.7081070689730682,6.010133641599187,410.187426232565,426.5975,443.007573767435,7.693469261978794,0.3708872348761427,41.813005214001095,58.075524250704376,-16.26251903670328,22.2303528829786,22.68875260206636,23.124685256147902,21.4397382028767,8.448674094233153,179033643.0,-1.7013056531756934,417.59,-0.023287005989408693,-0.03086207292168608,-0.033456908783010664,-0.02104580011125534,-0.017013056531756887,0.012358907313510048,0.015714851204403867,-0.017013056531756887,-0.005624036623356199,0.0025241901556583013,0.011524822695035297
